Country,Region,Area (sq. mi.)
Madagascar ,SUB-SAHARAN AFRICA                 ,587040
Malawi ,SUB-SAHARAN AFRICA                 ,118480
Malaysia ,ASIA (EX. NEAR EAST)         ,329750
Maldives ,ASIA (EX. NEAR EAST)         ,300
Mali ,SUB-SAHARAN AFRICA                 ,1240000
Malta ,WESTERN EUROPE                     ,316
Marshall Islands ,OCEANIA                            ,11854
Martinique ,LATIN AMER. & CARIB    ,1100
Mauritania ,SUB-SAHARAN AFRICA                 ,1030700
Mauritius ,SUB-SAHARAN AFRICA                 ,2040
Mayotte ,SUB-SAHARAN AFRICA                 ,374
Mexico ,LATIN AMER. & CARIB    ,1972550
"Micronesia, Fed. St. ",OCEANIA                            ,702
Moldova ,C.W. OF IND. STATES ,33843
Monaco ,WESTERN EUROPE                     ,2
Mongolia ,ASIA (EX. NEAR EAST)         ,1564116
Montserrat ,LATIN AMER. & CARIB    ,102
Morocco ,NORTHERN AFRICA                    ,446550
Mozambique ,SUB-SAHARAN AFRICA                 ,801590
Namibia ,SUB-SAHARAN AFRICA                 ,825418
Nauru ,OCEANIA                            ,21
Nepal ,ASIA (EX. NEAR EAST)         ,147181
Netherlands ,WESTERN EUROPE                     ,41526
Netherlands Antilles ,LATIN AMER. & CARIB    ,960
New Caledonia ,OCEANIA                            ,19060
New Zealand ,OCEANIA                            ,268680
Nicaragua ,LATIN AMER. & CARIB    ,129494
Niger ,SUB-SAHARAN AFRICA                 ,1267000
Nigeria ,SUB-SAHARAN AFRICA                 ,923768
N. Mariana Islands ,OCEANIA                            ,477
Norway ,WESTERN EUROPE                     ,323802
Oman ,NEAR EAST                          ,212460
Pakistan ,ASIA (EX. NEAR EAST)         ,803940
Palau ,OCEANIA                            ,458
Panama ,LATIN AMER. & CARIB    ,78200
Papua New Guinea ,OCEANIA                            ,462840
Paraguay ,LATIN AMER. & CARIB    ,406750
Peru ,LATIN AMER. & CARIB    ,1285220
Philippines ,ASIA (EX. NEAR EAST)         ,300000
Poland ,EASTERN EUROPE                     ,312685
Portugal ,WESTERN EUROPE                     ,92391
Puerto Rico ,LATIN AMER. & CARIB    ,13790
Qatar ,NEAR EAST                          ,11437
Reunion ,SUB-SAHARAN AFRICA                 ,2517
Romania ,EASTERN EUROPE                     ,237500
Russia ,C.W. OF IND. STATES ,17075200
Rwanda ,SUB-SAHARAN AFRICA                 ,26338
Saint Helena ,SUB-SAHARAN AFRICA                 ,413
Saint Kitts & Nevis ,LATIN AMER. & CARIB    ,261
Saint Lucia ,LATIN AMER. & CARIB    ,616
St Pierre & Miquelon ,NORTHERN AMERICA                   ,242
Saint Vincent and the Grenadines ,LATIN AMER. & CARIB    ,389
Samoa ,OCEANIA                            ,2944
San Marino ,WESTERN EUROPE                     ,61
Sao Tome & Principe ,SUB-SAHARAN AFRICA                 ,1001
Saudi Arabia ,NEAR EAST                          ,1960582
Senegal ,SUB-SAHARAN AFRICA                 ,196190
Serbia ,EASTERN EUROPE                     ,88361
Seychelles ,SUB-SAHARAN AFRICA                 ,455
Sierra Leone ,SUB-SAHARAN AFRICA                 ,71740
Singapore ,ASIA (EX. NEAR EAST)         ,693
Slovakia ,EASTERN EUROPE                     ,48845
Slovenia ,EASTERN EUROPE                     ,20273
Solomon Islands ,OCEANIA                            ,28450
Somalia ,SUB-SAHARAN AFRICA                 ,637657
South Africa ,SUB-SAHARAN AFRICA                 ,1219912
Spain ,WESTERN EUROPE                     ,504782
Sri Lanka ,ASIA (EX. NEAR EAST)         ,65610
Sudan ,SUB-SAHARAN AFRICA                 ,2505810
Suriname ,LATIN AMER. & CARIB    ,163270
Swaziland ,SUB-SAHARAN AFRICA                 ,17363
Sweden ,WESTERN EUROPE                     ,449964
Switzerland ,WESTERN EUROPE                     ,41290
Syria ,NEAR EAST                          ,185180
Taiwan ,ASIA (EX. NEAR EAST)         ,35980
Tajikistan ,C.W. OF IND. STATES ,143100
Tanzania ,SUB-SAHARAN AFRICA                 ,945087
Thailand ,ASIA (EX. NEAR EAST)         ,514000
Togo ,SUB-SAHARAN AFRICA                 ,56785
Tonga ,OCEANIA                            ,748
Trinidad & Tobago ,LATIN AMER. & CARIB    ,5128
Tunisia ,NORTHERN AFRICA                    ,163610
Turkey ,NEAR EAST                          ,780580
Turkmenistan ,C.W. OF IND. STATES ,488100
Turks & Caicos Is ,LATIN AMER. & CARIB    ,430
Tuvalu ,OCEANIA                            ,26
Uganda ,SUB-SAHARAN AFRICA                 ,236040
Ukraine ,C.W. OF IND. STATES ,603700
United Arab Emirates ,NEAR EAST                          ,82880
United Kingdom ,WESTERN EUROPE                     ,244820
United States ,NORTHERN AMERICA                   ,9631420
Uruguay ,LATIN AMER. & CARIB    ,176220
Uzbekistan ,C.W. OF IND. STATES ,447400
Vanuatu ,OCEANIA                            ,12200
Venezuela ,LATIN AMER. & CARIB    ,912050
Vietnam ,ASIA (EX. NEAR EAST)         ,329560
Virgin Islands ,LATIN AMER. & CARIB    ,1910
Wallis and Futuna ,OCEANIA                            ,274
West Bank ,NEAR EAST                          ,5860
Western Sahara ,NORTHERN AFRICA                    ,266000
Yemen ,NEAR EAST                          ,527970
Zambia ,SUB-SAHARAN AFRICA                 ,752614
Zimbabwe ,SUB-SAHARAN AFRICA                 ,390580
