iso,adm1,umd_tree_cover_loss__year,tree_loss_state,co2_state
BRA,25,2005,47518.60065,22711413.58
BRA,26,2005,9858.80994,2827359.741
BRA,27,2005,84245.9512,26704276.04
BRA,1,2006,40138.27018,29170835.55
BRA,2,2006,7887.440155,2646765.485
BRA,3,2006,13021.61726,7622370.392
BRA,4,2006,154847.8263,107637758.5
BRA,5,2006,177051.8549,54726048.32
BRA,6,2006,13507.83134,3039422.022
BRA,7,2006,59.14775875,17382.38534
BRA,8,2006,13347.4354,6954277.256
BRA,9,2006,56121.17745,17395585.57
BRA,10,2006,184183.0856,75038767.21
BRA,11,2006,77820.93552,26312589
BRA,12,2006,551307.9187,284510180.5
BRA,13,2006,162294.8201,62252343.7
BRA,14,2006,770914.5474,463371900.8
BRA,15,2006,5982.993088,1671769.206
BRA,16,2006,59053.15793,21748239.63
BRA,17,2006,9770.96764,2905267.719
BRA,18,2006,30552.22016,6619589.968
BRA,19,2006,2614.364449,1012651.683
BRA,20,2006,9645.013791,2364651.087
BRA,21,2006,25535.96995,9075046.554
BRA,22,2006,295557.6205,184024302.2
BRA,23,2006,29520.25903,17658653.5
BRA,24,2006,48197.57344,18523906.16
BRA,25,2006,52778.00787,25612035.48
BRA,26,2006,14916.59619,4777736.239
BRA,27,2006,70176.09491,22035135.17
BRA,1,2007,34674.05542,25778973.75
BRA,2,2007,3963.209659,1303008.06
BRA,3,2007,11020.33745,7030848.015
BRA,4,2007,89356.34492,61430821.54
BRA,5,2007,183798.7481,56077778.09
BRA,6,2007,22799.26354,5358940.396
BRA,7,2007,232.7372121,70443.09722
BRA,8,2007,12178.44735,7404963.29
BRA,9,2007,67503.96982,21822393.23
BRA,10,2007,208456.9729,82805208.27
BRA,11,2007,73908.36031,25417990.62
BRA,12,2007,494494.0107,252980567.1
BRA,13,2007,182357.6379,72971275.19
BRA,14,2007,672349.4862,395372645.5
BRA,15,2007,9618.181671,2836846.767
BRA,16,2007,48854.68529,19350703.25
BRA,17,2007,11396.405,3135179.115
BRA,18,2007,50046.5967,12352250.35
BRA,19,2007,5603.271484,2110684.122
BRA,20,2007,8952.316696,2325751.918
BRA,21,2007,26335.80641,10278436.22
BRA,22,2007,159361.2543,102468794.9
BRA,23,2007,45525.9206,26435717.38
BRA,24,2007,31100.63222,13472737.9
BRA,25,2007,50774.96493,25048479.15
BRA,26,2007,8320.557141,2901174.692
BRA,27,2007,108836.004,35326335.7
BRA,1,2008,55148.77633,40082774.83
BRA,2,2008,5753.004441,1844286.374
BRA,3,2008,13825.97796,9165416.08
BRA,4,2008,94494.93973,65353824.23
BRA,5,2008,171667.3856,59545157.63
BRA,6,2008,15169.10024,3797557.266
BRA,7,2008,39.97352502,12412.08993
BRA,8,2008,9417.958885,5347319.27
BRA,9,2008,39725.08975,13373492.07
BRA,10,2008,210304.7538,79766632.72
BRA,11,2008,59403.15969,21176763.13
BRA,12,2008,408045.8659,206898545
BRA,13,2008,147968.3122,66549605.92
BRA,14,2008,707655.5998,440118990.1
BRA,15,2008,13157.49066,3967058.065
BRA,16,2008,59009.97882,22849934.4
BRA,17,2008,21773.7774,6142613.265
BRA,18,2008,45876.9674,11751259.95
BRA,19,2008,2100.824507,838594.8214
BRA,20,2008,6841.105559,1886245.652
BRA,21,2008,24587.72529,8956753.138
BRA,22,2008,126104.572,75831398.86
BRA,23,2008,35220.53276,21065828.36
BRA,24,2008,40616.97843,17446662.23
BRA,25,2008,57190.20601,32926260.47
BRA,26,2008,13751.10251,4285270.72
BRA,27,2008,59456.87905,20461507.23
BRA,1,2009,35453.10797,26214164.44
BRA,2,2009,3632.939179,1335507.949
BRA,3,2009,22272.50298,15750719.03
BRA,4,2009,128265.9615,82181470.81
BRA,5,2009,166359.9526,54133363.09
BRA,6,2009,3990.835793,966124.2082
BRA,7,2009,143.1347736,46667.38436
BRA,8,2009,15416.98272,9778582.399
BRA,9,2009,48662.56977,16823841.65
BRA,10,2009,118923.5954,46594599.5
BRA,11,2009,57814.19447,24717513.71
BRA,12,2009,202112.539,100060521.6
BRA,13,2009,127154.7448,64445887.45
BRA,14,2009,480364.6015,308560036.1
BRA,15,2009,4445.255582,1382077.006
BRA,16,2009,48269.1432,19159122.51
BRA,17,2009,5176.075903,1680773.592
BRA,18,2009,53805.41918,13712326.48
BRA,19,2009,1966.858513,843612.9235
BRA,20,2009,5374.375034,1437118.64
BRA,21,2009,18073.7017,6863133.498
BRA,22,2009,95967.46705,63981694.14
BRA,23,2009,38872.18286,24079416.72
BRA,24,2009,32888.25815,13507032.83
BRA,25,2009,31242.78639,18406235.51
BRA,26,2009,5946.082151,1985417.349
BRA,27,2009,65305.96457,22391592.75
BRA,1,2010,42518.59084,30918172.3
BRA,2,2010,6551.617657,2313629.632
BRA,3,2010,10648.86383,8223702.585
BRA,4,2010,150467.6869,99286524.97
BRA,5,2010,195412.3647,69527272.07
BRA,6,2010,37853.4004,9898131.471
BRA,7,2010,129.8964169,45072.5306
BRA,8,2010,14060.69963,10415818.45
BRA,9,2010,40086.38012,14392644.97
BRA,10,2010,255849.4215,109155868.3
BRA,11,2010,56953.63161,24475836.48
BRA,12,2010,520185.1092,273820573.7
BRA,13,2010,157717.3773,79103968.93
BRA,14,2010,565740.0708,348465788.9
BRA,15,2010,11328.9265,3522722.083
BRA,16,2010,63022.15384,24930397.15
BRA,17,2010,17588.87556,5336863.528
BRA,18,2010,85592.00566,23720536.68
BRA,19,2010,2625.319172,1130336.56
BRA,20,2010,10246.71919,2803972.037
BRA,21,2010,24068.52069,8831676.599
BRA,22,2010,205746.1332,129787792.5
BRA,23,2010,23060.21853,14191088.89
BRA,24,2010,36838.60046,13702085.69
BRA,25,2010,77056.88871,50659780.72
BRA,26,2010,10195.56841,3350238.73
BRA,27,2010,67351.13554,24001292.08
BRA,1,2011,40098.2101,29467741.81
BRA,2,2011,2715.518175,934826.3919
BRA,3,2011,13879.87905,11197444.74
BRA,4,2011,85825.84446,59751798.5
BRA,5,2011,147831.0549,62061400.95
BRA,6,2011,6860.613703,1789520.95
BRA,7,2011,134.3072465,50438.13802
BRA,8,2011,15621.50977,12340991.21
BRA,9,2011,41499.34504,16591291.8
BRA,10,2011,139132.3072,57616659.61
BRA,11,2011,74918.33701,39241950.64
BRA,12,2011,344885.776,172523293.3
BRA,13,2011,83488.36268,57244577.98
BRA,14,2011,435157.1092,276471408.7
BRA,15,2011,3627.434036,1196829.616
BRA,16,2011,59256.91674,22953794.34
BRA,17,2011,7095.015518,2163380.343
BRA,18,2011,67314.7621,19027678.03
BRA,19,2011,4256.884645,1885577.288
BRA,20,2011,4203.659138,1211666.26
BRA,21,2011,22765.17443,7860721.833
BRA,22,2011,154223.761,97046711.5
BRA,23,2011,19460.51444,12117899.81
BRA,24,2011,32900.93283,11450095.99
BRA,25,2011,47093.4022,36321145.08
BRA,26,2011,8322.818046,2770434.195
BRA,27,2011,60794.24497,22637172.04
BRA,1,2012,62675.63578,47082496.12
BRA,2,2012,5841.909315,2365778.727
BRA,3,2012,20234.43752,13824545.01
BRA,4,2012,163604.2673,113262145
BRA,5,2012,274998.83,112157753.2
BRA,6,2012,32044.27257,8807223.385
BRA,7,2012,103.0121184,83005.27664
BRA,8,2012,22705.35979,17035468.32
BRA,9,2012,57117.70434,22798772.25
BRA,10,2012,258349.9309,104596133.5
BRA,11,2012,71916.99031,33699806.94
BRA,12,2012,535603.112,268021157.7
BRA,13,2012,166319.6216,97492054.16
BRA,14,2012,555725.8991,355265383.6
BRA,15,2012,12311.13209,3971927.376
BRA,16,2012,79416.47372,30593599.4
BRA,17,2012,22478.24282,7245217.874
BRA,18,2012,105488.5792,32392252.49
BRA,19,2012,2531.856895,1153536.032
BRA,20,2012,11243.60453,3261055.324
BRA,21,2012,55802.27686,18821364.61
BRA,22,2012,161087.7036,106795173
BRA,23,2012,20695.99797,12281045.66
BRA,24,2012,43210.68405,15311338.9
BRA,25,2012,75865.51178,52493690.62
BRA,26,2012,3735.864081,1311112.909
BRA,27,2012,97524.23081,36238379.07
BRA,1,2013,49483.35192,36820897.51
BRA,2,2013,1896.491198,766254.1125
BRA,3,2013,14463.10549,9420540.344
BRA,4,2013,126022.0434,85749804.61
BRA,5,2013,153800.5024,65493609.28
BRA,6,2013,23378.65938,6770767.542
BRA,7,2013,19.94031178,34414.59645
BRA,8,2013,11060.20639,8936635.713
BRA,9,2013,36045.50042,15061409.75
BRA,10,2013,278220.9229,114585707.1
BRA,11,2013,36175.9013,18949208.26
BRA,12,2013,227026.2074,111364044.9
BRA,13,2013,98395.56515,61217883.63
BRA,14,2013,434165.7828,263545676.7
BRA,15,2013,4497.06338,1433849.58
BRA,16,2013,59916.10343,25823127.18
BRA,17,2013,6494.224165,2037320.961
BRA,18,2013,74769.14908,24973995.36
BRA,19,2013,2192.212882,1133763.769
BRA,20,2013,2772.797951,753876.6376
BRA,21,2013,34419.53334,16017154.52
BRA,22,2013,78920.72534,50739831.96
BRA,23,2013,19711.01242,12254213.13
BRA,24,2013,35184.66966,17569218.74
BRA,25,2013,33222.41745,22484146.18
BRA,26,2013,2465.94613,1011184.531
BRA,27,2013,100786.2171,38811551.36
BRA,1,2014,63441.88948,47172289.55
BRA,2,2014,1976.599638,758121.2389
BRA,3,2014,16042.80596,10792543.07
BRA,4,2014,146342.9861,100759735
BRA,5,2014,186843.6991,84692811.07
BRA,6,2014,23824.2502,7091568.361
BRA,7,2014,126.9396931,142957.2846
BRA,8,2014,29282.83208,19582830.92
BRA,9,2014,51007.81372,22116478.26
BRA,10,2014,351383.8333,147561501.8
BRA,11,2014,48675.66981,31833901.52
BRA,12,2014,367276.6158,185061276.5
BRA,13,2014,195817.4877,117976188.2
BRA,14,2014,557607.3538,340350758.6
BRA,15,2014,4785.842398,1533276.687
BRA,16,2014,62550.71063,30832728.33
BRA,17,2014,5646.463371,1825792.21
BRA,18,2014,85698.36612,28392748.57
BRA,19,2014,7504.582361,3229737.854
BRA,20,2014,3771.980247,1083090.639
BRA,21,2014,43780.21582,20372221.36
BRA,22,2014,192095.2804,123832437.7
BRA,23,2014,31629.16873,19154898.19
BRA,24,2014,46537.94697,28105408.72
BRA,25,2014,31486.37547,36902199.22
BRA,26,2014,1846.957795,723361.88
BRA,27,2014,136149.6288,53639285.34
BRA,1,2015,49732.54926,36613648.88
BRA,2,2015,399.0951437,150612.574
BRA,3,2015,14201.15423,9466162.758
BRA,4,2015,156875.8643,110778231.8
BRA,5,2015,167989.914,81463638
BRA,6,2015,10044.22396,3030138.634
BRA,7,2015,172.496874,155236.3247
BRA,8,2015,17543.6697,16142424.29
BRA,9,2015,44806.38795,21806997.36
BRA,10,2015,281048.7092,123301875
BRA,11,2015,41027.33571,41517847.34
BRA,12,2015,329615.939,172480097.2
BRA,13,2015,123450.8774,110937075.6
BRA,14,2015,463582.6582,282651738.7
BRA,15,2015,2430.904673,766650.2254
BRA,16,2015,43212.00874,24436233.12
BRA,17,2015,3104.409441,990567.265
BRA,18,2015,57101.0231,19507471.57
BRA,19,2015,3702.158944,1836124.644
BRA,20,2015,2126.563258,632835.8108
BRA,21,2015,29545.19668,18820653.11
BRA,22,2015,163321.9314,108962763.7
BRA,23,2015,32866.83864,20213534
BRA,24,2015,28825.22935,19458480.64
BRA,25,2015,22035.296,36168447.53
BRA,26,2015,1021.509399,455159.5419
BRA,27,2015,132988.4728,54290930.93
BRA,1,2016,86612.94311,63087967.57
BRA,2,2016,893.6255793,372484.6899
BRA,3,2016,38424.90357,26105530.21
BRA,4,2016,547520.4818,373417609.6
BRA,5,2016,292820.9015,134772088.4
BRA,6,2016,16792.36411,5274604.221
BRA,7,2016,287.1301506,231565.5342
BRA,8,2016,26885.96531,20475303.02
BRA,9,2016,49045.29959,26216561.02
BRA,10,2016,799627.6594,377457652.6
BRA,11,2016,47996.22644,61061269.05
BRA,12,2016,587937.7011,306784509.8
BRA,13,2016,189089.0296,161666445.2
BRA,14,2016,1573272.114,1054443155
BRA,15,2016,3097.332075,1038445.277
BRA,16,2016,69700.21579,36844569.56
BRA,17,2016,4994.627118,1671402.388
BRA,18,2016,145752.7056,51121630.48
BRA,19,2016,3060.913558,1700460.764
BRA,20,2016,3459.285955,1089697.389
BRA,21,2016,48454.60213,30966922.98
BRA,22,2016,264735.3667,175088223
BRA,23,2016,337666.6678,209177744.7
BRA,24,2016,56720.14333,36907060.75
BRA,25,2016,31163.43331,46083363.69
BRA,26,2016,2542.598882,1101126.549
BRA,27,2016,150289.7966,66228422.61
BRA,1,2017,86123.52431,63593757.67
BRA,2,2017,2986.186734,1360100.347
BRA,3,2017,38141.21678,25459225.46
BRA,4,2017,263806.6163,185375490.2
BRA,5,2017,163955.6507,95968239.42
BRA,6,2017,19219.83103,6319967.77
BRA,7,2017,414.349379,301945.5239
BRA,8,2017,37151.70997,24888835.81
BRA,9,2017,95251.19264,46852279.39
BRA,10,2017,450528.7197,205800816.5
BRA,11,2017,53074.03054,65117992.11
BRA,12,2017,887072.2746,460976426
BRA,13,2017,172779.2013,163891344.2
BRA,14,2017,1319478.061,781759427.6
BRA,15,2017,4025.377663,1396777.8
BRA,16,2017,103699.029,49385455.85
BRA,17,2017,4003.379692,1405433.9
BRA,18,2017,75491.76277,28753887.32
BRA,19,2017,14380.52112,6993878.716
BRA,20,2017,2678.69459,894039.4682
BRA,21,2017,71345.36888,37723876.14
BRA,22,2017,281904.7631,187372460.4
BRA,23,2017,46200.6706,28043443.91
BRA,24,2017,74188.27846,45793537.84
BRA,25,2017,45499.32165,50076772.87
BRA,26,2017,6544.3363,3049880.15
BRA,27,2017,199889.103,94365877.53
BRA,1,2018,84489.42251,63761741.25
BRA,2,2018,1487.368438,752713.7541
BRA,3,2018,13126.12941,9171926.918
BRA,4,2018,193802.1388,142220521.6
BRA,5,2018,126119.6047,62492161.24
BRA,6,2018,12824.46588,4318106.074
BRA,7,2018,224.7780865,201174.7843
BRA,8,2018,28954.43885,18966172.75
BRA,9,2018,33201.4262,19336136.07
BRA,10,2018,405396.8142,189380840
BRA,11,2018,38197.7025,67468056.26
BRA,12,2018,433439.9081,240844647.9
BRA,13,2018,106940.8654,114802251.8
